query,intent,department,priority,sentiment
What items are allowed and not allowed in the hostel?,Hostel,Hostel Department,Low,Neutral
My scholarship application has been pending for 30 months with no update.,Scholarship,Scholarship Cell,Medium,Negative
My seat allotment was updated within 14 hours as promised.,Admission,Admission Department,Low,Positive
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
The help desk is not responding to my queries.,General,Help Desk,High,Negative
My fee refund has not been processed even after 5 months.,Finance,Finance Department,High,Negative
The finance staff resolved my billing error quickly.,Finance,Finance Department,Medium,Positive
My resume was not shortlisted without any feedback.,Placement,Placement Cell,Medium,Negative
How do I register on the placement portal?,Placement,Placement Cell,Medium,Neutral
Wrong category was assigned to me during the admission process.,Admission,Admission Department,High,Negative
The anti-ragging cell responded to my complaint immediately.,Complaint,Student Affairs,Low,Positive
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,Medium,Negative
The placement training sessions were very useful.,Placement,Placement Cell,Medium,Positive
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
The help desk is not responding to my queries.,General,Help Desk,Medium,Negative
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,High,Negative
What is the fee structure for the new academic year?,Admission,Admission Department,Low,Neutral
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Low,Neutral
Is there a scholarship for differently-abled students?,Scholarship,Scholarship Cell,Medium,Neutral
How do I access the university Wi-Fi?,General,Help Desk,Medium,Neutral
I appreciate the extended fee deadline during exam time.,Finance,Finance Department,Low,Positive
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Low,Positive
The warden resolved my complaint within 11 hours.,Hostel,Hostel Department,Low,Positive
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Medium,Positive
What is the process to apply for hostel accommodation?,Hostel,Hostel Department,Medium,Neutral
The university website has been down for 14 days.,General,Help Desk,Medium,Negative
I was not notified about the campus drive that happened yesterday.,Placement,Placement Cell,Medium,Negative
My application was rejected without any reason given.,Admission,Admission Department,Medium,Negative
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Low,Neutral
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,High,Negative
I appreciate the quick action taken on my grievance.,Complaint,Student Affairs,Low,Positive
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
How do I apply for a bonafide certificate?,General,Help Desk,Low,Neutral
Is air conditioning available in hostel rooms?,Hostel,Hostel Department,Medium,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,High,Negative
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,High,Negative
When does hostel allotment happen for new students?,Hostel,Hostel Department,Low,Neutral
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,High,Negative
The placement cell kept us informed about every drive.,Placement,Placement Cell,Medium,Positive
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
Is air conditioning available in hostel rooms?,Hostel,Hostel Department,Low,Neutral
Revaluation result is pending for over 3 months.,Examination,Examination Department,High,Negative
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,Medium,Negative
The notice board has outdated information.,General,Help Desk,High,Negative
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
The pre-placement talk was cancelled without informing students.,Placement,Placement Cell,High,Negative
My merit list position was not updated even after re-verification.,Admission,Admission Department,Medium,Negative
Is off-campus placement assistance provided?,Placement,Placement Cell,Low,Neutral
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Medium,Neutral
My fee refund has not been processed even after 16 months.,Finance,Finance Department,Medium,Negative
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Medium,Positive
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,High,Negative
What is the procedure to vacate the hostel at year end?,Hostel,Hostel Department,Medium,Neutral
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Low,Positive
What documents are needed for placement registration?,Placement,Placement Cell,Low,Neutral
I have been charged hostel fee even though I am a day scholar.,Finance,Finance Department,High,Negative
How is the scholarship amount disbursed?,Scholarship,Scholarship Cell,Low,Neutral
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,Medium,Negative
What is the procedure to vacate the hostel at year end?,Hostel,Hostel Department,Medium,Neutral
"My refund was processed within 16 working days, thank you.",Finance,Finance Department,Low,Positive
Are there any internship opportunities through the placement cell?,Placement,Placement Cell,Medium,Neutral
How do I register on the placement portal?,Placement,Placement Cell,Medium,Neutral
The finance department is not responding to my refund request.,Finance,Finance Department,High,Negative
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
The campus facilities have improved a lot this year.,General,Help Desk,Medium,Positive
I missed the counselling round due to no notification from the portal.,Admission,Admission Department,High,Negative
Wi-Fi in the hostel has not been working for 25 days.,Hostel,Hostel Department,High,Negative
The placement cell has not updated the company list for this year.,Placement,Placement Cell,High,Negative
I missed the counselling round due to no notification from the portal.,Admission,Admission Department,High,Negative
The exam timetable was changed without prior notice.,Examination,Examination Department,High,Negative
The mess food quality has deteriorated significantly.,Hostel,Hostel Department,High,Negative
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
What are the hostel rules for late-night entry?,Hostel,Hostel Department,Medium,Neutral
Is direct admission available for lateral entry students?,Admission,Admission Department,Medium,Neutral
How do I apply for a bonafide certificate?,General,Help Desk,Low,Neutral
My seat allotment was updated within 6 hours as promised.,Admission,Admission Department,Low,Positive
Can final year students from all branches register?,Placement,Placement Cell,Medium,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Medium,Neutral
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
I could not find my roll number on the examination portal.,Examination,Examination Department,Medium,Negative
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,Medium,Negative
Is laundry service available in the hostel?,Hostel,Hostel Department,Medium,Neutral
How is the scholarship amount disbursed?,Scholarship,Scholarship Cell,Low,Neutral
When will the second merit list be published?,Admission,Admission Department,Medium,Neutral
The university website has been down for 10 days.,General,Help Desk,High,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Medium,Neutral
When does hostel allotment happen for new students?,Hostel,Hostel Department,Medium,Neutral
The mess food quality has deteriorated significantly.,Hostel,Hostel Department,High,Negative
The university website has been down for 5 days.,General,Help Desk,Medium,Negative
What is the process for NRI admission?,Admission,Admission Department,Medium,Neutral
What happens if I miss the fee deadline?,Finance,Finance Department,Medium,Neutral
The mess food quality has deteriorated significantly.,Hostel,Hostel Department,High,Negative
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,High,Negative
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Low,Positive
I have not received my offer letter even after 24 months of selection.,Placement,Placement Cell,High,Negative
Where can I report a case of harassment?,Complaint,Student Affairs,Low,Neutral
The hostel room was clean and well-maintained on arrival.,Hostel,Hostel Department,Low,Positive
Where is the medical centre located on campus?,General,Help Desk,Medium,Neutral
How many attempts are allowed for a backlog paper?,Examination,Examination Department,Medium,Neutral
My seat allotment was updated within 6 hours as promised.,Admission,Admission Department,Low,Positive
How do I update my contact details on the portal?,General,Help Desk,Low,Neutral
The seat allotment letter has not been issued after 20 days of payment.,Admission,Admission Department,High,Negative
Can I change my branch after the first year?,Admission,Admission Department,Medium,Neutral
What items are allowed and not allowed in the hostel?,Hostel,Hostel Department,Medium,Neutral
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,High,Negative
What is the procedure for the internal complaints committee?,Complaint,Student Affairs,Low,Neutral
The hostel fee receipt has not been generated after payment.,Hostel,Hostel Department,High,Negative
What clubs and societies are active this semester?,General,Help Desk,Low,Neutral
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Low,Neutral
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
The hostel room was clean and well-maintained on arrival.,Hostel,Hostel Department,Low,Positive
My fee refund has not been processed even after 2 months.,Finance,Finance Department,High,Negative
I received my admission confirmation letter on time.,Admission,Admission Department,Medium,Positive
I received my offer letter within 19 days of the interview.,Placement,Placement Cell,Medium,Positive
Can I appear in exam if attendance is below 75 percent?,Examination,Examination Department,Medium,Neutral
What is the minimum CGPA required for placement registration?,Placement,Placement Cell,Medium,Neutral
Thank you for ensuring a safe environment in the hostel.,Complaint,Student Affairs,Medium,Positive
The finance department is not responding to my refund request.,Finance,Finance Department,High,Negative
What is the minimum CGPA required for placement registration?,Placement,Placement Cell,Low,Neutral
The placement cell kept us informed about every drive.,Placement,Placement Cell,Low,Positive
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,High,Negative
My ID card has not been issued even after 25 weeks of joining.,General,Help Desk,Medium,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,High,Negative
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,Medium,Negative
The placement training sessions were very useful.,Placement,Placement Cell,Low,Positive
What is the fee structure for the new academic year?,Admission,Admission Department,Medium,Neutral
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,Medium,Negative
I appreciate the extended fee deadline during exam time.,Finance,Finance Department,Low,Positive
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
My email ID was not created even after 4 weeks of registration.,General,Help Desk,High,Negative
What is the process to apply for hostel accommodation?,Hostel,Hostel Department,Low,Neutral
How do I file a formal complaint against a faculty member?,Complaint,Student Affairs,Medium,Neutral
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
The help desk is not responding to my queries.,General,Help Desk,Medium,Negative
There is a spelling mistake in my name on the hall ticket.,Examination,Examination Department,High,Negative
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Medium,Neutral
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,High,Negative
The student affairs office handled my case professionally.,Complaint,Student Affairs,Medium,Positive
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
How do I register on the placement portal?,Placement,Placement Cell,Medium,Neutral
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,High,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,Medium,Negative
My seat allotment was updated within 25 hours as promised.,Admission,Admission Department,Medium,Positive
What are the accepted modes of fee payment?,Finance,Finance Department,Medium,Neutral
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
The finance department is not responding to my refund request.,Finance,Finance Department,High,Negative
Wi-Fi in the hostel has not been working for 17 days.,Hostel,Hostel Department,High,Negative
The finance department is not responding to my refund request.,Finance,Finance Department,High,Negative
What are the accepted modes of fee payment?,Finance,Finance Department,Medium,Neutral
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
My fee refund has not been processed even after 20 months.,Finance,Finance Department,Medium,Negative
Wrong category was assigned to me during the admission process.,Admission,Admission Department,High,Negative
There is a case of ragging in my hostel block.,Complaint,Student Affairs,Medium,Negative
How many seats are available in the Computer Science branch?,Admission,Admission Department,Medium,Neutral
I received my offer letter within 2 days of the interview.,Placement,Placement Cell,Low,Positive
Is off-campus placement assistance provided?,Placement,Placement Cell,Medium,Neutral
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Medium,Neutral
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,High,Negative
I received my offer letter within 18 days of the interview.,Placement,Placement Cell,Low,Positive
My roommate is causing disturbance but the warden is not taking action.,Hostel,Hostel Department,High,Negative
How do I register on the placement portal?,Placement,Placement Cell,Low,Neutral
My resume was not shortlisted without any feedback.,Placement,Placement Cell,High,Negative
What documents are needed for placement registration?,Placement,Placement Cell,Medium,Neutral
What scholarships are available for meritorious students?,Scholarship,Scholarship Cell,Medium,Neutral
What is the monthly hostel fee for postgraduate students?,Hostel,Hostel Department,Medium,Neutral
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
"I received my ID card within 2 days, thank you.",General,Help Desk,Medium,Positive
Who is the grievance redressal officer?,Complaint,Student Affairs,Low,Neutral
My resume was not shortlisted without any feedback.,Placement,Placement Cell,High,Negative
Where can I report a case of harassment?,Complaint,Student Affairs,Low,Neutral
The university website has been down for 3 days.,General,Help Desk,Medium,Negative
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Medium,Neutral
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,High,Negative
My email ID was not created even after 29 weeks of registration.,General,Help Desk,Medium,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,Medium,Negative
What are the transport routes available for students?,General,Help Desk,Medium,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,High,Negative
I received the scholarship amount before the semester began.,Scholarship,Scholarship Cell,Medium,Positive
When does hostel allotment happen for new students?,Hostel,Hostel Department,Low,Neutral
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Medium,Positive
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Low,Neutral
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,Medium,Negative
Is there a training program before placements?,Placement,Placement Cell,Low,Neutral
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
I have been allotted a wrong exam centre far from my address.,Examination,Examination Department,High,Negative
Is there a provision for sports quota admission?,Admission,Admission Department,Medium,Neutral
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
I have not received my offer letter even after 8 months of selection.,Placement,Placement Cell,High,Negative
The university website has been down for 19 days.,General,Help Desk,High,Negative
My complaint was taken seriously and resolved within 18 days.,Complaint,Student Affairs,Medium,Positive
Admission office is not responding to my emails for 27 days.,Admission,Admission Department,High,Negative
There is a case of ragging in my hostel block.,Complaint,Student Affairs,High,Negative
How many seats are available in the Computer Science branch?,Admission,Admission Department,Medium,Neutral
My application was rejected without any reason given.,Admission,Admission Department,Medium,Negative
What is the procedure for exam form correction?,Examination,Examination Department,Medium,Neutral
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
There is a spelling mistake in my name on the hall ticket.,Examination,Examination Department,High,Negative
What documents are needed for placement registration?,Placement,Placement Cell,Medium,Neutral
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,Medium,Negative
The common bathroom tiles are broken and pose a safety risk.,Hostel,Hostel Department,High,Negative
When will the end semester exam schedule be released?,Examination,Examination Department,Low,Neutral
Wrong category was assigned to me during the admission process.,Admission,Admission Department,Medium,Negative
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Medium,Positive
Who is the grievance redressal officer?,Complaint,Student Affairs,Low,Neutral
I have been allotted a wrong exam centre far from my address.,Examination,Examination Department,High,Negative
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
What was the highest package offered last year?,Placement,Placement Cell,Medium,Neutral
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Medium,Positive
What happens if I miss the fee deadline?,Finance,Finance Department,Medium,Neutral
The pre-placement talk was cancelled without informing students.,Placement,Placement Cell,High,Negative
How is the scholarship amount disbursed?,Scholarship,Scholarship Cell,Low,Neutral
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,High,Negative
What is the fee structure for international students?,Finance,Finance Department,Medium,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
My complaint submitted 8 days ago has not been acknowledged.,Complaint,Student Affairs,High,Negative
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,Medium,Negative
How do I get a duplicate ID card?,General,Help Desk,Medium,Neutral
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Medium,Neutral
What documents are needed for placement registration?,Placement,Placement Cell,Low,Neutral
The pre-placement talk was cancelled without informing students.,Placement,Placement Cell,Medium,Negative
How long does it take to resolve a grievance?,Complaint,Student Affairs,Low,Neutral
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,High,Negative
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
What is the monthly hostel fee for postgraduate students?,Hostel,Hostel Department,Medium,Neutral
I have not received my offer letter even after 5 months of selection.,Placement,Placement Cell,High,Negative
Staff at the help desk were very cooperative.,General,Help Desk,Medium,Positive
What is the last date for fee payment this semester?,Finance,Finance Department,Medium,Neutral
My complaint was taken seriously and resolved within 26 days.,Complaint,Student Affairs,Low,Positive
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,Medium,Negative
The online payment system is very convenient.,Finance,Finance Department,Low,Positive
The faculty is not conducting classes regularly.,Complaint,Student Affairs,High,Negative
I was not notified about the campus drive that happened yesterday.,Placement,Placement Cell,High,Negative
When will semester results be declared?,Examination,Examination Department,Low,Neutral
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,High,Negative
There is a spelling mistake in my name on the hall ticket.,Examination,Examination Department,High,Negative
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Medium,Neutral
Wrong category was assigned to me during the admission process.,Admission,Admission Department,Medium,Negative
The exam schedule was shared well in advance this time.,Examination,Examination Department,Low,Positive
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,High,Negative
My seat allotment was updated within 21 hours as promised.,Admission,Admission Department,Low,Positive
What was the highest package offered last year?,Placement,Placement Cell,Medium,Neutral
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,Medium,Negative
I have been charged hostel fee even though I am a day scholar.,Finance,Finance Department,Medium,Negative
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,High,Negative
I was not allowed into the exam hall due to a portal error.,Examination,Examination Department,High,Negative
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
I submitted all documents but my admission status still shows incomplete.,Admission,Admission Department,High,Negative
The merit scholarship process was transparent and fair.,Scholarship,Scholarship Cell,Low,Positive
Can I apply for multiple scholarships simultaneously?,Scholarship,Scholarship Cell,Medium,Neutral
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,High,Negative
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,Medium,Negative
My transaction failed but the amount was debited from my account.,Finance,Finance Department,High,Negative
I received my admission confirmation letter on time.,Admission,Admission Department,Low,Positive
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,Medium,Negative
The placement cell kept us informed about every drive.,Placement,Placement Cell,Low,Positive
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
What is the fee structure for the new academic year?,Admission,Admission Department,Medium,Neutral
My grade sheet shows incorrect marks for the third semester.,Examination,Examination Department,High,Negative
The challan generated has incorrect details.,Finance,Finance Department,Medium,Negative
I received the scholarship amount before the semester began.,Scholarship,Scholarship Cell,Low,Positive
How can I get a duplicate fee receipt?,Finance,Finance Department,Low,Neutral
The transport bus schedule has changed without any notice.,General,Help Desk,Medium,Negative
The university website has been down for 28 days.,General,Help Desk,High,Negative
What is the last date for admission form submission?,Admission,Admission Department,Medium,Neutral
The campus facilities have improved a lot this year.,General,Help Desk,Low,Positive
My backlog exam date clashes with my regular exam schedule.,Examination,Examination Department,High,Negative
How do I download my fee receipt from the portal?,Finance,Finance Department,Low,Neutral
The university website has been down for 19 days.,General,Help Desk,High,Negative
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,High,Negative
The university website has been down for 22 days.,General,Help Desk,Medium,Negative
When will campus placements begin this year?,Placement,Placement Cell,Medium,Neutral
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
The finance department is not responding to my refund request.,Finance,Finance Department,Medium,Negative
How long does it take to resolve a grievance?,Complaint,Student Affairs,Medium,Neutral
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,High,Negative
My ID card has not been issued even after 20 weeks of joining.,General,Help Desk,Medium,Negative
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Low,Neutral
The placement cell kept us informed about every drive.,Placement,Placement Cell,Medium,Positive
The online payment system is very convenient.,Finance,Finance Department,Low,Positive
My roommate is causing disturbance but the warden is not taking action.,Hostel,Hostel Department,High,Negative
How can I get a duplicate fee receipt?,Finance,Finance Department,Low,Neutral
The seat allotment letter has not been issued after 3 days of payment.,Admission,Admission Department,High,Negative
The placement portal login is not working for me.,Placement,Placement Cell,High,Negative
I reported a maintenance issue 8 weeks ago but it is still unresolved.,Hostel,Hostel Department,Medium,Negative
Admission office is not responding to my emails for 12 days.,Admission,Admission Department,High,Negative
What is the fee structure for the new academic year?,Admission,Admission Department,Medium,Neutral
Is there a scholarship for differently-abled students?,Scholarship,Scholarship Cell,Low,Neutral
Are there any internship opportunities through the placement cell?,Placement,Placement Cell,Medium,Neutral
What is the process to apply for hostel accommodation?,Hostel,Hostel Department,Medium,Neutral
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Low,Neutral
My roommate is causing disturbance but the warden is not taking action.,Hostel,Hostel Department,High,Negative
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,Medium,Negative
The placement cell has not updated the company list for this year.,Placement,Placement Cell,High,Negative
I was not allowed into the exam hall due to a portal error.,Examination,Examination Department,High,Negative
What was the highest package offered last year?,Placement,Placement Cell,Medium,Neutral
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
"I received my ID card within 30 days, thank you.",General,Help Desk,Low,Positive
What is the monthly hostel fee for postgraduate students?,Hostel,Hostel Department,Low,Neutral
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
What documents are required for the admission process?,Admission,Admission Department,Medium,Neutral
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,High,Negative
I could not find my roll number on the examination portal.,Examination,Examination Department,High,Negative
I received my offer letter within 10 days of the interview.,Placement,Placement Cell,Low,Positive
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
What are the accepted modes of fee payment?,Finance,Finance Department,Medium,Neutral
"My refund was processed within 20 working days, thank you.",Finance,Finance Department,Medium,Positive
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,High,Negative
The faculty is not conducting classes regularly.,Complaint,Student Affairs,High,Negative
I could not find my roll number on the examination portal.,Examination,Examination Department,Medium,Negative
My application was rejected without any reason given.,Admission,Admission Department,Medium,Negative
"My scholarship was approved quickly, I am very grateful.",Scholarship,Scholarship Cell,Low,Positive
"My refund was processed within 19 working days, thank you.",Finance,Finance Department,Low,Positive
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Low,Positive
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,Medium,Negative
Can I apply for multiple scholarships simultaneously?,Scholarship,Scholarship Cell,Medium,Neutral
What are the accepted modes of fee payment?,Finance,Finance Department,Low,Neutral
I appreciate the extended fee deadline during exam time.,Finance,Finance Department,Low,Positive
My scholarship application has been pending for 2 months with no update.,Scholarship,Scholarship Cell,Medium,Negative
What is the procedure for the internal complaints committee?,Complaint,Student Affairs,Low,Neutral
The pre-placement talk was cancelled without informing students.,Placement,Placement Cell,High,Negative
What is the exam form fill-up last date?,Examination,Examination Department,Low,Neutral
How do I get a duplicate ID card?,General,Help Desk,Medium,Neutral
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,High,Negative
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
The placement cell kept us informed about every drive.,Placement,Placement Cell,Low,Positive
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,High,Negative
My ID card has not been issued even after 4 weeks of joining.,General,Help Desk,High,Negative
My backlog exam date clashes with my regular exam schedule.,Examination,Examination Department,Medium,Negative
My roommate is causing disturbance but the warden is not taking action.,Hostel,Hostel Department,High,Negative
What is the procedure for exam form correction?,Examination,Examination Department,Low,Neutral
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,High,Negative
The revaluation process was handled efficiently.,Examination,Examination Department,Low,Positive
Is there a training program before placements?,Placement,Placement Cell,Low,Neutral
Is direct admission available for lateral entry students?,Admission,Admission Department,Medium,Neutral
The university website has been down for 14 days.,General,Help Desk,High,Negative
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Medium,Positive
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Low,Neutral
How many seats are available in the Computer Science branch?,Admission,Admission Department,Low,Neutral
What is the process for NRI admission?,Admission,Admission Department,Medium,Neutral
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,Medium,Negative
What is the minimum CGPA required for placement registration?,Placement,Placement Cell,Medium,Neutral
I have been allotted a wrong exam centre far from my address.,Examination,Examination Department,High,Negative
Can I apply for multiple scholarships simultaneously?,Scholarship,Scholarship Cell,Medium,Neutral
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
The student affairs office handled my case professionally.,Complaint,Student Affairs,Low,Positive
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
The orientation program was well-organised.,General,Help Desk,Medium,Positive
Revaluation result is pending for over 13 months.,Examination,Examination Department,Medium,Negative
The hostel fee receipt has not been generated after payment.,Hostel,Hostel Department,High,Negative
How do I apply for a room change?,Hostel,Hostel Department,Medium,Neutral
The placement training sessions were very useful.,Placement,Placement Cell,Low,Positive
My roommate is causing disturbance but the warden is not taking action.,Hostel,Hostel Department,High,Negative
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,High,Negative
My email ID was not created even after 9 weeks of registration.,General,Help Desk,High,Negative
Can I appear in exam if attendance is below 75 percent?,Examination,Examination Department,Medium,Neutral
My application was rejected without any reason given.,Admission,Admission Department,High,Negative
I submitted all documents but my admission status still shows incomplete.,Admission,Admission Department,High,Negative
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,Medium,Negative
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Low,Neutral
When will the end semester exam schedule be released?,Examination,Examination Department,Low,Neutral
I was not allowed into the exam hall due to a portal error.,Examination,Examination Department,Medium,Negative
Where is the medical centre located on campus?,General,Help Desk,Low,Neutral
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
When will semester results be declared?,Examination,Examination Department,Medium,Neutral
"I got placed in a good company, thank you to the placement cell.",Placement,Placement Cell,Low,Positive
My ID card has not been issued even after 14 weeks of joining.,General,Help Desk,High,Negative
Can I appear in exam if attendance is below 75 percent?,Examination,Examination Department,Low,Neutral
My complaint submitted 2 days ago has not been acknowledged.,Complaint,Student Affairs,Medium,Negative
Is there a provision for sports quota admission?,Admission,Admission Department,Medium,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Low,Neutral
I missed the counselling round due to no notification from the portal.,Admission,Admission Department,Medium,Negative
How is the scholarship amount disbursed?,Scholarship,Scholarship Cell,Medium,Neutral
The hostel fee receipt has not been generated after payment.,Hostel,Hostel Department,High,Negative
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,Medium,Negative
The hostel room allotted to me is not clean.,Hostel,Hostel Department,Medium,Negative
The university website has been down for 6 days.,General,Help Desk,High,Negative
Admission office is not responding to my emails for 12 days.,Admission,Admission Department,Medium,Negative
My fee refund has not been processed even after 2 months.,Finance,Finance Department,High,Negative
What is the last date for admission form submission?,Admission,Admission Department,Low,Neutral
What was the highest package offered last year?,Placement,Placement Cell,Low,Neutral
What is the minimum CGPA required for placement registration?,Placement,Placement Cell,Low,Neutral
